Solvent,Solute,logK,deltaG_solv
c1ccc(cc1)C#N,CCN(CC)CC,2.977,-0.17612
C(Cl)(Cl)(Cl)Cl,[HH],-1.11,0.06567
c1ccc(cc1)N,CC(C)CC(C)(C)C,2.059,-0.12181
C(CCl)Cl,CC(=O)C,3.13,-0.18517
CCCCO,CCC(C)O,4.03,-0.23841
CC(C)CC(C)(C)C,[Ar],-0.344,0.02035
C(Cl)(Cl)(Cl)Cl,CCC(C)(C(C)C)O,4.366,-0.25829
c1ccc(cc1)C#N,CCCCC,1.834,-0.1085
CCCO,CCCCCCCCC,3.55,-0.21002
CCC(=O)C,CCCCO,4.15,-0.24551
CC(C)CC(C)(C)C,CC(C)CC(C)C,3.034,-0.17949
CCCCCCCCO,CCCOC=O,2.66,-0.15736
CCO,C1CCCCC1,2.55,-0.15086
C1CCC(=O)CC1,FS(F)(F)(F)(F)F,-0.379,0.02242
CCC(C)(C)O,CCC,1.04,-0.06153
CC1COC(=O)O1,[Ar],-1.06,0.06271
CCCCO,CCC(C)(C)C,2.12,-0.12542
CCCCCCCCO,[HH],-1.29,0.07632
c1(c(c(c(c(c1F)F)F)F)F)F,Cc1ccccc1,3.912,-0.23143
CN1CCCC1=O,CC,0.23,-0.01361
CCOCCO,c1ccc(c(c1)Cl)Cl,4.849,-0.28686
CCCCCCCCCCO,[Ne],-1.606,0.09501
CCCCCl,c1ccccc1,3.267,-0.19327
CCCCCCCCCCCCCCCC,CCl,1.163,-0.0688
CC(C)(C)O,CCc1ccc(cc1)CC,4.62,-0.27332
CN1CCCC1=O,CCO,3.65,-0.21593
CCCCCCCCO,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,4.47,-0.26444
C1CCC(=O)CC1,C(F)(F)(F)F,-1.031,0.06099
CCOCCO,CO,3.179,-0.18807
CCCCCCCC,CC(C)(C)OC,2.572,-0.15216
CN1CCCC1=O,C(=O)=S,1.03,-0.06093
c1(c(c(c(c(c1F)F)F)F)F)F,CCCCCCCC,3.544,-0.20966
C1COCCO1,CCCCCCCC,3.24,-0.19168
CC(=O)c1ccccc1,Cc1ccccc1,3.644,-0.21558
Cc1ccccc1,CCCNCCC,3.841,-0.22723
CCC(=O)C,CCC=O,2.82,-0.16683
c1ccc(cc1)C#N,CCCCCCC,2.74012161177,-0.1621
CC(C)OC(C)C,c1ccccc1,3.081,-0.18227
CC(=O)N(C)C,O=S=O,2.58,-0.15263
CC(C)OCCO,C(Cl)Cl,2.76932311992,-0.16383
CCCCOCCCC,C(Cl)Cl,2.35,-0.13902
CCC(=O)C,CC(C)CC(C)C,2.68,-0.15855
CC(=O)c1ccccc1,C[N+](=O)[O-],3.554,-0.21025
CCc1ccccc1,c1ccccc1,3.181,-0.18819
CC(=O)O,CC(C)C,0.959,-0.05673
CCCCCCO,CCCCCC,2.485,-0.14701
CCCO,CCCCO,4.47,-0.26444
CCCCCCCCCCC,N#N,-0.82,0.04851
CCCCCO,CC(=O)C,2.49,-0.14731
C(Cl)(Cl)Cl,CCl,1.82,-0.10767
c1ccc(cc1)F,CCCCCCCC,3.78,-0.22362
CCOC(=O)C,CCCCl,2.7,-0.15973
CC(C)O,[HH],-1.07,0.0633
CCCCCC,[Rn],1.137,-0.06726
CCO,c1ccc(cc1)Cl,3.68,-0.21771
CC(C)OC(C)C,CCC(C)Cl,2.893,-0.17115
c1ccc(cc1)C#N,CO,2.48,-0.14672
C(Cl)(Cl)Cl,C(F)(Cl)(Cl)Cl,2.07,-0.12246
CC(C)CC(C)(C)C,Cc1cccc(n1)C,3.88,-0.22954
CCCCO,CCBr,2.22,-0.13133
C1CCOC1,c1(c(c(c(c(c1F)F)F)F)F)F,3.3,-0.19523
C(Cl)(Cl)(Cl)Cl,c1cc(cc(c1)O)N,6.27,-0.37093
CCO,CCCCc1ccccc1,4.2,-0.24847
CCCCCCCCCCCCCCCC,CC(C)NC(C)C,2.893,-0.17115
CCOC(=O)C,Cc1ccccn1,4.16,-0.2461
CO,[C-]#[O+],-0.65,0.03845
CCCCCCCCCCC,C(F)(F)(F)F,-0.68,0.04023
Cc1cccc(c1)C,CC(C)O,2.443,-0.14453
CC(C)CO,C=CC=C,1.51,-0.08933
CCCCC(CC)CO,[HH],-1.205,0.07129
C(=O)N,CCCCC(=O)C,3.27,-0.19345
C1CC(=O)OC1,CCCC(C)C,1.551,-0.09176
CCO,CCCCCCCCCCCCCCCC,6.57,-0.38868
C1CCC(=O)CC1,CCCC(C)C,2.303,-0.13624
CCCCCCCCCCCCCCCC,CCC(=O)O,2.29,-0.13547
CCCCOP(=O)(OCCCC)OCCCC,C(CCl)Cl,3.31,-0.19582
C(Cl)(Cl)Cl,CCCCCC,2.87,-0.16979
CC(C)CC(=O)C,C(Cl)(Cl)Cl,3.309,-0.19576
CCCCCCCCCC,CCC(=O)OC,2.556,-0.15121
C(CCl)Cl,CC(C)(C)Br,2.95,-0.17452
CC(=O)O,[HH],-1.199,0.07093
Cc1ccc(cc1)C,CCCC(C)C,2.651,-0.15683
CC(=O)O,[N-]=[N+]=O,0.658,-0.03893
CCOC(=O)C,[HH],-1.07,0.0633
C1CCCCCCC1,C,-0.299,0.01769
C1COCCO1,CCCC(C)C,2.19,-0.12956
C(Cl)(Cl)Cl,c1ccc(cc1)C#N,5.75,-0.34017
C1COCCO1,CO,2.81,-0.16624
CCCCCCCCCCCCCCCC,CCCCCCC=O,3.86,-0.22836
c1ccc(cc1)Cl,CC(C)C(C)C(C)C,3.69,-0.2183
CCCCCCCCO,C1CCC=CC1,2.83,-0.16742
CCCO,[Ar],-0.61,0.03609
CCCCCCCC,CCCC(C)CO,3.585,-0.21209
C(I)I,CCCCCC,1.51,-0.08933
CCCCCCCCCCCC,CCC(C)C,2.11,-0.12483
CCCCCCCCCCCCCCCC,COC=O,1.459,-0.08631
CC(=O)C,CI,2.6,-0.15381
C(Cl)(Cl)(Cl)Cl,CCC#N,2.77,-0.16387
CC(=O)c1ccccc1,CCCC(C)C,2.056,-0.12163
C1COCCO1,C(=S)=S,2.22,-0.13133
CC(C)CC(C)(C)C,CCCCCCO,3.738,-0.22114
CCCCCl,CCCCO,3.375,-0.19966
CCCCCCCC,CCC(C(C)(C)C)O,3.617,-0.21398
CCO,CCCO,4.2,-0.24847
C(Cl)(Cl)(Cl)Cl,N,0.79,-0.04674
C(=S)=S,CCO,1.806,-0.10684
CCCCCCCCCC,CC(C)C(C)(C)O,3.339,-0.19753
CC1COC(=O)O1,CCCCCCCC,2.26,-0.1337
CCCCCCCCO,CCCC#N,3.12,-0.18458
CC(C)CC(=O)C,c1ccccc1,3.253,-0.19245
c1ccncc1,C,-0.471,0.02786
C/C(=N/C)/O,CC(C)C=O,2.7,-0.15973
CC(C)(C)O,C=CC=C,1.52,-0.08992
C1CCC(=O)CC1,CCCCCC,2.439,-0.14429
CN1CCCC1=O,CCCC(C)(C)C,1.95,-0.11536
C/N=C/O,CC(=O)C,2.8,-0.16565
CC#N,CCCCCC,1.92,-0.11359
CCCCCC,c1ccncc1,3.07,-0.18162
CC(C)O,CC(Cl)(Cl)Cl,2.61,-0.15441
CCCCCCCCCCCCCCCC,C,-0.323,0.01911
CS(=O)C,CCCCCCC,1.722,-0.10187
CN1CCCC1=O,CI,2.76,-0.16328
c1ccc(cc1)Cl,CC(C)C,1.65,-0.09761
CC(C)CC(C)(C)C,CC(C)OC(C)C,2.773,-0.16405
c1ccc(cc1)I,CCCCCCO,4.22,-0.24965
CC(=O)C,C=CC=C,2.01,-0.11891
C/N=C/O,CCCC(C)C,1.64,-0.09702
CCCCCCCCCCO,CC(C)CO,3.981,-0.23551
CCCCOP(=O)(OCCCC)OCCCC,[Ar],-0.71,0.042
CC(=O)O,N#N,-0.924,0.05466
CC(C)CC(C)(C)C,CC(C)(C)OC,2.623,-0.15517
C1COCCN1C=O,CCCC=O,2.89,-0.17097
CCCCCCCCCO,C,-0.388,0.02295
C(=O)N,c1ccc(cc1)Br,3.02,-0.17866
CCCCCCCCCC,CCC(C)(C(C)C)O,3.912,-0.23143
C1COCCN1C=O,CCCC=C,1.35,-0.07987
CC(=O)N(C)C,C1CCCCC1,2.49,-0.14731
Cc1cccc(c1)C,CCCCCO,3.822,-0.22611
C(Cl)(Cl)Cl,N#N,-0.87,0.05147
CCCCCCCCCCCCCCCC,C(I)I,3.853,-0.22794
CC(=O)N(C)C,C=CC=C,1.88,-0.11122
c1ccc(cc1)Cl,CC(C)OCCO,3.97,-0.23486
c1ccncc1,C(=O)=O,0.554,-0.03277
CCOC(=O)C,C(Cl)(Cl)(Cl)Cl,3.1,-0.18339
CCCCCCC,[Kr],0.076,-0.0045
C/N=C/O,CCC(=O)C,3.13,-0.18517
C1CCOC1,CCCCCCCCC,4.34,-0.25675
CCCCCCCCCCCCCCCC,c1ccc(c(c1)Cl)Cl,4.405,-0.2606
CCCCCCCC,CCCCC,2.35,-0.13902
C(Cl)(Cl)Cl,CCCC(C)C(=O)O,5.12,-0.3029
c1ccc(cc1)Br,[Kr],-0.28,0.01656
C(I)I,Cc1ccccc1,3.29,-0.19463
Cc1cccc(c1)C,CCC(=O)C,2.997,-0.1773
c1ccc(cc1)N,CCC1CCCCC1,2.854,-0.16884
C/C(=N/C)/O,N#N,-1.12,0.06626
CN(C)C=O,C1COCCO1,3.72,-0.22007
CCC(C)O,CC=C,0.97,-0.05738
CC(=O)N(C)C,CC(C)CO,4.43,-0.26208
CCCCCl,CC(=C)CC(C)(C)C,3.484,-0.20611
C1CCC(=O)OCC1,CC(C)O,3.213,-0.19008
CCCCCC,C[N+](=O)[O-],2.02,-0.1195
c1ccc(cc1)N,CCCCC,1.324,-0.07833
C/C(=N/C)/O,CCCCOC(=O)C,3.77,-0.22303
C(CCl)Cl,CCCCCCCCCC(=O)O,6.83,-0.40406
CC(=O)OC,COCCO,4.005,-0.23693
C1CCOC1,CCCCC,2.33,-0.13784
CCCCCCC,CC#N,1.67,-0.0988
Cc1ccccc1,CCOCC,2.44,-0.14435
Cc1ccccc1C,CCCCO,3.272,-0.19357
Cc1ccccc1,[Ar],-0.603,0.03567
CCCCCO,CC(=C)C,1.47,-0.08696
CCOCCO,c1ccccc1,3.025,-0.17896
CCCCCCCCCCCCCCCC,CCN(CC)CC,3.077,-0.18203
C1CCCCCCC1,[Ar],-0.627,0.03709
CCCCCC,CCCCl,2.47,-0.14612
C1CCOC1,[Ne],-1.49,0.08815
CC1COC(=O)O1,C(Cl)Cl,2.55,-0.15086
c1ccc(cc1)I,Cc1ccc(o1)C=O,5.12,-0.3029
CC(=O)C,CC(C)c1ccccc1,4.32,-0.25557
CO,N,2.26,-0.1337
CCCCCO,C=CC=C,1.55,-0.0917
Cc1cccc(c1)C,C(C(F)(Cl)Cl)(F)(F)Cl,2.472,-0.14624
CCCCCCCCO,CC,0.42,-0.02485
CC(=O)N(C)C,CCC,0.8,-0.04733
CCCCCCCCC,C1CCCCC1,3.03,-0.17925
c1ccncc1,C[N+](=O)[O-],3.695,-0.21859
CCCCCCCCCCCCCCCC,CCCCCl,2.722,-0.16103
CCCCCCCCCCCC,CCCCC,2.26,-0.1337
CCCCCCC,CC(C)[N+](=O)[O-],2.79,-0.16505
CCCCCCCC,C=C,0.44,-0.02603
C(Cl)(Cl)(Cl)Cl,CC=C(C)C,2.38,-0.1408
C1COCCO1,CCN(CC)CC,2.98,-0.17629
CCC(C)O,C(F)(F)(F)F,-0.74,0.04378
C(Cl)(Cl)(Cl)Cl,CC(C)OC(C)C,3.1,-0.18339
CC(C)O,CC(=C)C,1.45,-0.08578
CCCCCCC,[2H][2H],-0.93,0.05502
COCCO,C[N+](=O)[O-],3.644,-0.21558
CN(C)C=O,CCC(C)(C)C,1.71,-0.10116
CC(C)(C)O,[Ar],-0.55,0.03254
CCCCCCCCO,CCCCl,2.24,-0.13252
C(Cl)(Cl)Cl,CCCO,3.26,-0.19286
CC(C)CC(C)(C)C,C1CCC(CC1)O,3.678,-0.21759
c1ccc(cc1)Cl,C=C,0.45,-0.02662
CCOC(=O)C,CCCC(C)C,2.4134371649,-0.14278
CCCCCCCCC,CC=C,1.241,-0.07342
CCCCCCCCCCC,Cc1ccccc1,3.39,-0.20055
C(Cl)(Cl)Cl,Cc1ccc(cc1)N,6.04,-0.35732
C(=O)N,CC(=O)C,2.73,-0.16151
CCCCCCCCO,CC(C)OC(C)C,2.66,-0.15736
CC(C)CO,N,1.86,-0.11004
C(Cl)(Cl)(Cl)Cl,CCN(CC)CC,3.26,-0.19286
CCCCCCCCCCCC,CCC(=O)CC(=O)C,3.88,-0.22954
CCCCCCCCCCCCCCCC,CCCc1ccccc1,4.221,-0.24971
CCCCOC(=O)C,CCCCCCCC,3.558,-0.21049
C1CCC(=O)CC1,CCCCl,2.689,-0.15908
C/C(=N/C)/O,c1ccc(cc1)Cl,3.79,-0.22421
CCCCCCCCCCC,C(Br)(Br)Br,3.53,-0.20883
CCCCCCCC,CCCCCCCCCCO,5.77,-0.34135
CCCCCCCCCCCCCCCC,CC[Si](CC)(CC)CC,4.33,-0.25616
C(Cl)(Cl)(Cl)Cl,CCCC,1.96,-0.11595
CC(C)OC(C)C,CC(C)C(C)C,2.712,-0.16044
C(CCl)Cl,[He],-1.81,0.10708
CCCCCCC,c1ccc(cc1)I,4.595,-0.27184
CCCCCCCCCCCC,CCCCCOCCO,4.25,-0.25143
CCCCOCCO,c1ccc(c(c1)Cl)Cl,4.74,-0.28042
CCC(C)CO,CC=C,0.95,-0.0562
C(Cl)(Cl)Cl,Cc1cc(cc(c1)O)C,6.2,-0.36679
CCCCCCC,CN(C)C,1.79,-0.1059
CCCCO,[N-]=[N+]=O,0.4,-0.02366
CC(C)OCCO,CC(CCl)Cl,3.29868052176,-0.19515
CCCCCCCCCCC,[C-]#[O+],-0.75,0.04437
CCCCCCCCO,CCCCCCCC=C,3.83,-0.22658
c1ccc(cc1)Br,S,0.95,-0.0562
CO,CC(=O)C,2.89,-0.17097
c1ccc(cc1)I,c1cc(oc1)C=O,4.52,-0.2674
C/N=C/O,CCC(C)(C)OC,2.65,-0.15677
CN(C)C=O,CC(C)(C)OC,2.33,-0.13784
c1ccc(cc1)N,CCCC(=C)C,1.965,-0.11625
Cc1ccc(cc1)C,C(CCl)Cl,3.234,-0.19132
CCCCO,CCI,2.65,-0.15677
CCCCCCCCCCCC,[Ne],-1.43,0.0846
CCCCCCCCO,C1COCCO1,3.17,-0.18754
c1ccc(cc1)[N+](=O)[O-],CCC(=O)C,3.283,-0.19422
C(Cl)(Cl)Cl,C(C(Cl)Cl)Cl,3.87,-0.22895
CCCOC(=O)C,[C-]#[O+],-0.606,0.03585
COCCO,CCCCCCCCCC,3.466,-0.20505
CCCCCCCCCCCCCCCC,CCCCCCCCCO,5.124,-0.30313
C(Cl)(Cl)Cl,CCCOP(=O)(OCCC)OCCC,9.26,-0.54782
CC1COC(=O)O1,CCI,2.71,-0.16032
CCC(C)O,C,-0.31,0.01834
CCCCOCCO,CCc1ccccc1,3.83,-0.22658
CO,CCCc1ccccc1,3.91,-0.23131
C(Cl)(Cl)Cl,CCC(C)CCO,4.845,-0.28663
C/N=C/O,O=O,-0.82,0.04851
c1ccc(cc1)N,CC(C)(C)Cl,2.146,-0.12696
CCCCCCO,C,-0.345,0.02041
CCCCCCCC,O=O,-0.513,0.03035
CCC(=O)C,C(=O)=O,0.72,-0.04259
c1ccc(cc1)N,CC(=O)C,3.031,-0.17931
CCCCCCCCCCCC,[Ar],-0.55,0.03254
C(=O)N,CCCCO,3.83,-0.22658
CCCCOP(=O)(OCCCC)OCCCC,C=C,0.38,-0.02248
CCCOCCO,CCc1ccccc1,3.81976611381,-0.22597
CC(=O)OC,N#N,-0.672,0.03976
c1ccc(cc1)Cl,CCCCC(=O)OC,4.27,-0.25261
C1COCCO1,[Ne],-1.65,0.09761
CCCCCCCO,CC1CCCC1,2.57,-0.15204
CCCCCCC,Cc1cccc(c1)C,3.95,-0.23368
CCCCCCCCO,Cc1ccc(cc1)C,3.79,-0.22421
c1ccc(cc1)Cl,CCCC(C)C,2.78,-0.16446
C/C(=N/C)/O,C(Cl)Cl,2.74,-0.1621
CCC(=O)C,CC(C)OC(C)C,2.86,-0.1692
CCCCCO,FS(F)(F)(F)(F)F,-0.21,0.01242
CC(C)CC(C)(C)C,c1(c(c(c(c(c1F)F)F)F)F)F,2.59,-0.15322
c1ccc(cc1)CO,CCCCC,1.55,-0.0917
CO,CCCCCCCCCO,6.25,-0.36975
CCCCCCCCCC,CCOC(=O)C,2.403,-0.14216
CCCCCCCCO,CCCCCCCCCCCCCCCCCCO,10.93,-0.64661
c1ccc(cc1)I,CCN(CC)CC,3.18,-0.18813
CC(CO)O,C(Cl)(Cl)Cl,2.565,-0.15174
CCCCCCCCCCCC,CC(C)C=C,1.97,-0.11654
C[N+](=O)[O-],CC(C)CCC(C)C,2.071,-0.12252
CCCCCCC,c1ccsc1,2.998,-0.17736
CCO,CC(C)(C)C,1.61,-0.09525
CCO,CCC(=O)C,3.16,-0.18694
C1COCCN1C=O,CCc1ccccc1,3.67,-0.21711
c1ccncc1,CCCCCl,3.171,-0.18759
C(Cl)(Cl)Cl,C(CCl)O,4.2,-0.24847
C1COCCN1C=O,CC(C)(C)O,3.26,-0.19286
CCCCCCCCO,C[N+](=O)[O-],2.52,-0.14908
CCCCCO,C(Cl)Cl,2.34,-0.13843
CCCCCCCCCCCCCCCC,CCC=C,1.491,-0.08821
CCCCOC(=O)C,C(C(CCl)O)Cl,5.56,-0.32893
CC(C)O,C1CCCCC1,2.53,-0.14967
Cc1ccccc1,ClCl,1.669,-0.09874
CCOCCO,CCCCCCCC,3.049,-0.18038
C=CCO,COC,1.76,-0.10412
CCCCCCCC,Cc1ccc(o1)C=O,3.632,-0.21487
CCCCCC,C#C,0.38,-0.02248
CCCCCCCCCC,CC(C)(C)OC,2.548,-0.15074
c1ccc(cc1)C#N,c1ccc(cc1)F,3.324,-0.19665
C[N+](=O)[O-],CCCCC,1.33,-0.07868
C1CCC(=O)CC1,[Kr],-0.274,0.01621
C1CC(=O)OC1,CC(C)C(C)C(C)C,2.229,-0.13187
CO,[Ar],-0.57,0.03372
CCCCCCCCCCO,FS(F)(F)(F)(F)F,-0.344,0.02035
CCC(C)O,[C-]#[O+],-0.77,0.04555
C1COCCO1,CCCCCCC,2.79,-0.16505
CCCCO,CCC#N,2.94,-0.17393
CC(C)O,CC[Sn](CC)(CC)CC,4.53,-0.26799
CC(C)(C)O,c1ccc(cc1)CBr,4.66,-0.27568
CCCCCO,CCC=C,1.47,-0.08696
COCCO,CC#N,3.157,-0.18677
CCCCOP(=O)(OCCCC)OCCCC,CCCCCl,2.97,-0.1757
CCCO,CC(=O)CC(=O)C,3.69,-0.2183
CCC(C)O,[Kr],-0.17,0.01006
CC(=O)c1ccccc1,CCCC,1.37,-0.08105
CCCCCCCO,[Xe],0.378,-0.02236
c1ccc(cc1)C#N,FS(F)(F)(F)(F)F,-0.521,0.03082
CCC(=O)C,CCCCCCCCC,3.9,-0.23072
C/C(=N/C)/O,CC1CCCCC1,2.63,-0.15559
CCCCCCCCO,CO,2.84,-0.16801
C/N=C/O,CC1CCCCC1,2.33,-0.13784
c1ccc(cc1)Cl,[Xe],0.47,-0.0278
c1(c(c(c(c(c1F)F)F)F)F)F,C[N+](=O)[O-],3.037,-0.17967
c1ccc(cc1)Br,COC,1.54,-0.09111
C1CCC(=O)OCC1,CCCCC,1.491,-0.08821
CCCCOP(=O)(OCCCC)OCCCC,[N]=O,-0.584,0.03455
CCc1ccccc1,CCNCC,2.843,-0.16819
C(Cl)(Cl)Cl,CCCCCCO,4.92,-0.29106
c1ccc(cc1)I,CCCCCCCO,4.77,-0.28219
CCCCCCCCCCCC,CCO,1.51,-0.08933
CCCCOP(=O)(OCCCC)OCCCC,CCc1ccccc1,3.96,-0.23427
CCOC(=O)C,CI,2.54,-0.15026
CCCCCCCCCC,CC(C)CCCO,3.501,-0.20712
CCCOCCO,CC#N,2.92334913433,-0.17294
c1ccncc1,CCC(C)O,4.136,-0.24468
CCCCCCCCCCCCCCCC,C(C(F)(F)F)O,1.224,-0.07241
c1ccc(cc1)Cl,CCc1ccccc1,4.28,-0.2532
Cc1ccccc1,CC(=C)C,1.752,-0.10365
CCCCCCCCCCC,c1ccc(cc1)[N+](=O)[O-],4.46,-0.26385
CC(=O)N(C)C,CCI,2.91,-0.17215
CCCCCCCO,CCCCC,1.95,-0.11536
CCCCCCCCCCCCCCCC,CO,0.922,-0.05454
CC(=O)N(C)C,CCBr,2.52,-0.14908
CCC(C)O,CC(=C)C,1.46,-0.08637
CCCCOP(=O)(OCCCC)OCCCC,CCCCCC,2.37,-0.14021
C/N=C/O,CCCCCCC=C,2.64,-0.15618
CCCCOP(=O)(OCCCC)OCCCC,CCCC=C,1.92,-0.11359
C1CCOC1,[Xe],0.58,-0.03431
CCCCC,CCC1CCCCC1,3.95,-0.23368
CCCCO,C[N+](=O)[O-],2.82,-0.16683
Cc1ccccc1C,C(CCl)Cl,3.238,-0.19156
C1COCCO1,c1ccncc1,4.17,-0.24669
C(Cl)(Cl)(Cl)Cl,CC(=C)C,1.99,-0.11773
c1ccc(cc1)C#N,CC(C)CC(C)C,2.36730938282,-0.14005
C(Cl)(Cl)Cl,CCOP(=O)(OCC)OCC,7.81,-0.46203
CCCCCCCCCCCC,c1ccc(cc1)CO,4.09,-0.24196
C(Cl)(Cl)Cl,CN,2.32,-0.13725
CC(C)CO,CC(=C)C,1.45,-0.08578
CCCOCCO,Cc1ccc(cc1)C,3.85214560612,-0.22789
CCCCO,CC(=O)C,2.57,-0.15204
Cc1ccccc1,C(F)(F)(F)F,-0.799,0.04727
C(=S)=S,CCCCCCCC,4.007,-0.23705
CCCCCCCCC,CCCC(C)C,2.69,-0.15914
CCCCCCCCCCCCCCCC,CC(C)Cl,1.97,-0.11654
C(Cl)(Cl)Cl,CCC(C(C)C)O,4.642,-0.27462
COCCO,Cc1cccc(c1)C,3.741,-0.22132
CCCCCCC,CCN,1.53,-0.09051
CC(=O)C,[Rn],0.75,-0.04437
CCCCCCC,C(F)(F)(Cl)Cl,1.32,-0.07809
C(Cl)(Cl)Cl,CCOC(=O)c1ccccc1C(=O)OCC,9.4,-0.5561
C1CCOC1,C(C(F)(F)F)(Cl)Br,3.67,-0.21711
c1ccc(cc1)CO,CC(C)CC(C)C,2.029,-0.12003
CC#N,CCO,3.179,-0.18807
CCCCCCCC,C(Cl)Cl,2.1,-0.12423
CCCO,CC(C)(C)Br,2.34,-0.13843
CC(=O)C,CCN(CC)CC,2.97,-0.1757
C1CCOCC1,CCCCCC,2.6,-0.15381
C1CCC(=O)OCC1,C1CCCCC1,2.327,-0.13766
c1ccc(cc1)C#N,CC,0.378,-0.02236
CC#N,CCC(=O)C,3.502,-0.20718
C(Cl)(Cl)(Cl)Cl,C1CCCCC1,3.22,-0.19049
C1CCOC1,C1CCCCC1,3.131,-0.18523
CC(=O)O,[Xe],0.215,-0.01272
C(I)I,C[N+](=O)[O-],2.78,-0.16446
CN1CCCC1=O,C[N+](=O)[O-],4.03,-0.23841
C1CCOC1,C=C,0.6,-0.0355
CC(C)CC(=O)C,C1CCCCC1,2.877,-0.1702
c1ccc(cc1)CO,C[N+](=O)[O-],3.279,-0.19398
C1CCOC1,C[Sn](C)(C)C,2.67,-0.15796
CCOCC,CO,2.48,-0.14672
c1ccc(cc1)Cl,CCCCCCCC,3.99,-0.23605
c1ccncc1,CC(C)C(C)C(C)C,3.035,-0.17955
CO,CI,2.35,-0.13902
CC(C)(C)O,CCC(C)C,1.88,-0.11122
CCCCCCCCO,CCCO,3.68,-0.21771
CO,N#N,-0.81,0.04792
CCCCCCCCCCO,[Kr],-0.264,0.01562
CC(=O)C,CC(=O)OC,3.02,-0.17866
C[N+](=O)[O-],CCCCCCCCC,2.626,-0.15535
Cc1ccccc1,COC,1.586,-0.09383
CCC(C)CO,CC(=C)C,1.45,-0.08578
C(I)I,CCCCCCC,2.09,-0.12364
C(Cl)(Cl)(Cl)Cl,C(F)(F)(F)Cl,0.44,-0.02603
C/C(=N/C)/O,CCCCC,1.59,-0.09406
CCCCCCCCC,CCC=C,1.781,-0.10536
C(CCl)Cl,CCC1CCCCC1,3.57,-0.2112
CCCCOCCCC,O=O,-0.57,0.03372
CCO,O=O,-0.62,0.03668
c1ccc(cc1)CO,Cc1ccccc1,3.362,-0.19889
CCCCCCCCCCCCCCCC,CCCCC(=O)O,3.38,-0.19996
Cc1ccc(cc1)C,CC(C)C(C)C(C)C,3.541,-0.20948
CN(C)C=O,CC#N,3.41,-0.20173
CCCCCl,C1CCCCC1,3.062,-0.18115
CC(C)O,CC(C)CCC(C)C,2.87,-0.16979
c1ccc(cc1)C#N,CNC,2.054,-0.12151
Cc1ccc(cc1)C,CI,2.544,-0.1505
c1ccc(cc1)C#N,c1ccc(cc1)I,5.118,-0.30278
CCCCCC,O,0.54,-0.03195
CCCCCCCCCCCCCCCC,CCCCCCc1ccccc1,5.617,-0.3323
CC(C)CO,CCCCBr,3.04,-0.17984
CC#N,CC(C)C(C)C(C)C,2.51,-0.14849
CCCCCCCCCCCC,CCCCCCO,3.57,-0.2112
CCOc1ccccc1,CCCCCCCC,3.511,-0.20771
CCC(C)(C)OC,CO,2.431,-0.14382
CC(=O)OC,CCCCCCC,2.854,-0.16884
CC(C)(C)O,C/C=C\C,1.65,-0.09761
CCCCCC,CCCCCCO,3.678,-0.21759
CC(C)CC(C)(C)C,c1ccc(cc1)Cl,3.607,-0.21339
c1ccc(cc1)Cl,[Ne],-1.63,0.09643
CCCCCCCCCCCCCCCC,CCCCS,2.88,-0.17038
C(Cl)(Cl)Cl,c1cc(ccc1[N+](=O)[O-])O,8.01,-0.47387
CCCC(C)O,CC(C)C,1.32,-0.07809
CCC(C)CO,CCC,0.97,-0.05738
CCC(C)O,CO,3.29,-0.19463
CCCCCC,CCCc1ccccc1,4.071,-0.24084
COCCO,C(Cl)Cl,2.738,-0.16198
CCCCCCCCCCCCCCCC,CC(C)c1ccccc1,4.105,-0.24285
CN1CCCC1=O,c1ccsc1,3.43,-0.20292
C(Cl)(Cl)Cl,CC(=O)N(C)C,5.906,-0.3494
CCCCCCCCCCCCCCCC,CC,0.492,-0.02911
C(CCl)Cl,CCCCCC,2.51,-0.14849
C(Cl)(Cl)(Cl)Cl,CCC1CCCCC1,4.084,-0.24161
c1ccc(cc1)N,Cc1ccccc1,3.4,-0.20114
CN(C)C=O,CC(C)C,0.97,-0.05738
CC(C)O,CCCCO,4.47,-0.26444
CCCCOCCCC,CCO,2.39,-0.14139
CCc1ccccc1,CCCCCCO,4.323,-0.25575
CC(C)O,CCCC,1.49,-0.08815
Cc1ccccc1,N#N,-0.881,0.05212
CN1CCCC1=O,C(=O)=O,0.63,-0.03727
C(Cl)(Cl)(Cl)Cl,Cc1ccc(cc1)O,4.72,-0.27923
CCCCCl,CCCCl,2.702,-0.15985
CCO,C(=O)=O,0.42,-0.02485
CCCCCC,CC(C)N,2.04,-0.12069
Cc1ccccc1,CC=C,1.208,-0.07146
CCCCCCCCO,C1CCNCC1,4.04,-0.239
CC(C)CC(C)(C)C,COC(=O)c1ccccc1,4.918,-0.29095
CCCCCC,CCCC(C)C,2.82,-0.16683
Cc1ccccc1,CCc1ccccc1,4.233,-0.25042
Cc1ccccc1,CCCCOC(=O)C,4.083,-0.24155
CCCCOCC,C(Cl)(Cl)(Cl)Cl,3.144,-0.186
CCCCOCCCC,C1COCCO1,3.14,-0.18576
CCO,c1ccncc1,4.18,-0.24729
CC(=O)C,CCCCC,1.98,-0.11714
CC(C)OCCO,CC(C)O,3.47456742029,-0.20555
CC1COC(=O)O1,C1CCC=CC1,2.29,-0.13547
